text,label
John walked past me without saying a word He must be angry at me for something,Mind Reading
"During the meeting, Sarah didn't look at me once She probably thinks my ideas are stupid",Mind Reading
Mike didn't respond to my text right away He must be tired of talking to me,Mind Reading
Jessica didn't smile when she saw me She must be upset with me,Mind Reading
Tom didn't invite me to his party He must not like me anymore,Mind Reading
"When my boss didn't comment on my report, I knew she thought it was terrible",Mind Reading
Anna didn't laugh at my joke She must think I'm boring,Mind Reading
David didn't call me back He must not value our friendship,Mind Reading
Lisa walked out of the room when I started talking She probably thinks I'm annoying,Mind Reading
"During lunch, Mark didn't sit with me He must be avoiding me because he doesn't like me",Mind Reading
Susan didn't ask me to join the project She must think I'm not capable,Mind Reading
Emily didn't say goodbye when she left She must be mad at me,Mind Reading
Rob didn't answer my question in the group chat He must think it's a dumb question,Mind Reading
Karen didn't compliment my presentation She must have thought it was awful,Mind Reading
Chris didn't include me in the email He probably thinks I'm not important enough,Mind Reading
"When Jane didn't return my call, I assumed she didn't want to talk to me",Mind Reading
Paul didn't show up for our meeting He must think I'm not worth his time,Mind Reading
Rita didn't laugh at my story She must think I'm not funny,Mind Reading
Gary didn't share my post He must think it's not worth sharing,Mind Reading
"When Kate didn't make eye contact, I knew she didn't like me",Mind Reading
Alex didn't invite me to the meeting He must think I don't have anything valuable to contribute,Mind Reading
Megan didn't smile at my comment She must think it's silly,Mind Reading
Tom didn't say hi this morning He must be holding a grudge against me,Mind Reading
"When I saw that John was talking to Sarah and not to me, I assumed he didn't like me anymore",Mind Reading
Jenny didn't mention my name in the team meeting She must think I'm not doing a good job,Mind Reading
"When Bob didn't laugh at my joke, I knew he thought it was stupid",Mind Reading
Sally didn't respond to my email She must think I'm not important,Mind Reading
Dan didn't say anything about my new haircut He must think it looks bad,Mind Reading
Lisa didn't text me back She must be ignoring me because she's mad,Mind Reading
"When Tim didn't offer to help, I assumed he didn't care about my problems",Mind Reading
Claire didn't reply to my message She must think I'm not worth her time,Mind Reading
Tom didn't invite me to lunch He must think I'm not fun to be around,Mind Reading
Mike didn't comment on my presentation He probably thought it was boring,Mind Reading
"When Jen didn't join the conversation, I assumed she didn't like me",Mind Reading
Rachel didn't say good morning She must be upset with me for some reason,Mind Reading
Sam didn't like my post He must think it's not interesting,Mind Reading
"When Matt didn't ask for my opinion, I knew he didn't value what I had to say",Mind Reading
Sarah didn't reply to my text She must think I'm annoying,Mind Reading
Chris didn't laugh at my joke He must think I'm not funny,Mind Reading
Laura didn't ask me to join the project She must think I'm not capable,Mind Reading
"When Steve didn't invite me to the meeting, I assumed he didn't think my input was valuable",Mind Reading
Mary didn't smile when I walked in She must be upset with me,Mind Reading
Ben didn't comment on my work He probably thinks it's not good,Mind Reading
Susan didn't say hi She must be avoiding me,Mind Reading
David didn't respond to my email He must think I'm not important,Mind Reading
Jane didn't include me in the conversation She must think I'm not worth talking to,Mind Reading
"When Paul didn't offer to help, I knew he didn't care",Mind Reading
Anna didn't smile at my comment She must think it's not funny,Mind Reading
Tom didn't reply to my message He must think I'm not interesting,Mind Reading
Lisa didn't invite me to her party She must think I'm boring,Mind Reading
Mark didn't ask for my input He must think I have nothing valuable to say,Mind Reading
"When Sarah didn't respond to my email, I assumed she didn't want to talk to me",Mind Reading
John didn't like my post He must think it's not worth liking,Mind Reading
Emma didn't say good morning She must be mad at me,Mind Reading
Chris didn't laugh at my joke He must think I'm not funny,Mind Reading
Rachel didn't comment on my presentation She probably thought it was bad,Mind Reading
Mike didn't include me in the meeting He must think I'm not important,Mind Reading
Jen didn't reply to my text She must be ignoring me,Mind Reading
"When Sam didn't ask for my opinion, I knew he didn't value what I had to say",Mind Reading
Laura didn't smile at my comment She must think it's not funny,Mind Reading
David didn't invite me to his party He must not like me,Mind Reading
Susan didn't say hi She must be mad at me,Mind Reading
Tom didn't respond to my message He must think I'm not worth his time,Mind Reading
"When John didn't ask for my input, I assumed he didn't think I had anything valuable to contribute",Mind Reading
Sarah didn't laugh at my joke She must think I'm not funny,Mind Reading
Mark didn't reply to my email He must think it's not important,Mind Reading
Lisa didn't include me in the conversation She must think I'm boring,Mind Reading
Chris didn't smile at my comment He must think it's not funny,Mind Reading
Emma didn't say hi She must be upset with me,Mind Reading
"When Mike didn't invite me to the meeting, I assumed he didn't think my input was valuable",Mind Reading
Jen didn't respond to my text She must be ignoring me,Mind Reading
Rachel didn't ask for my opinion She must think I have nothing valuable to say,Mind Reading
David didn't laugh at my joke He must think it's not funny,Mind Reading
Tom didn't say good morning He must be mad at me,Mind Reading
Sarah didn't comment on my presentation She probably thought it was bad,Mind Reading
"When John didn't invite me to his party, I assumed he didn't like me",Mind Reading
Chris didn't reply to my email He must think it's not important,Mind Reading
Laura didn't smile at my comment She must think it's not funny,Mind Reading
Mike didn't include me in the conversation He must think I'm boring,Mind Reading
Emma didn't say hi She must be upset with me,Mind Reading
"When Mark didn't ask for my input, I assumed he didn't think I had anything valuable to contribute",Mind Reading
Jen didn't laugh at my joke She must think it's not funny,Mind Reading
Sarah didn't respond to my text She must be ignoring me,Mind Reading
Tom didn't say good morning He must be mad at me,Mind Reading
David didn't comment on my presentation He probably thought it was bad,Mind Reading
Chris didn't invite me to the meeting He must think I'm not important,Mind Reading
"When John didn't ask for my opinion, I knew he didn't value what I had to say",Mind Reading
Laura didn't smile at my comment She must think it's not funny,Mind Reading
Emma didn't respond to my message She must think I'm not interesting,Mind Reading
Mike didn't include me in the meeting He must think I'm not important,Mind Reading
Rachel didn't say hi She must be upset with me,Mind Reading
Tom didn't laugh at my joke He must think it's not funny,Mind Reading
"When Sarah didn't reply to my email, I assumed she didn't want to talk to me",Mind Reading
Chris didn't like my post He must think it's not worth liking,Mind Reading
David didn't say good morning He must be mad at me,Mind Reading
Jen didn't comment on my presentation She probably thought it was bad,Mind Reading
Laura didn't invite me to her party She must think I'm boring,Mind Reading
"When Mark didn't ask for my input, I assumed he didn't think I had anything valuable to contribute",Mind Reading
Mike didn't respond to my message He must be ignoring me,Mind Reading
Rachel didn't laugh at my joke She must think it's not funny,Mind Reading
Tom didn't say hi He must be upset with me,Mind Reading
Sarah didn't comment on my work She probably thought it was bad,Mind Reading
Chris didn't include me in the meeting He must think I'm not important,Mind Reading
"When John didn't reply to my email, I assumed he didn't think it was important",Mind Reading
Emma didn't smile at my comment She must think it's not funny,Mind Reading
David didn't invite me to his,Mind Reading
Jen didn't say hi She must be mad at me,Mind Reading
Laura didn't respond to my text She must think I'm not worth her time,Mind Reading
Mark didn't include me in the conversation He must think I'm boring,Mind Reading
"When Sarah didn't ask for my opinion, I knew she didn't value what I had to say",Mind Reading
Tom didn't laugh at my joke He must think it's not funny,Mind Reading
