Serial_Number	zh	en
001	然后医疗保险呢？就是我们家，不论是大人啊还是小孩都会去买一个保险	What about medical insurance? As for my family, either an adult or a child will buy insurance.
002	当他们买了保险的，按照保险合同的话，是要赔三十万的	For those who have insurance, according to the insurance contract, they will get a compensation of 300 thousand yuan.
003	需要意识到买了一个保险的重要性	Need to realize the importance of having insurance.
004	其实这种现象是真的很普遍，因为比如说你买一个人身意外险你那个你买的越多你那个保额就越多	In fact, this phenomenon is indeed very common, for instance, for personal accident insurance, the more you buy, the more you insure.
005	这代父母真的很有必要去买一个保险	It is really necessary for this generation of parents to buy insurance.
006	嗯，对现在就是说很提倡买保险	Well, right now, it's really advisable to buy insurance.
007	车一定要全款买，房子可以贷款买	A car must be bought in full, and a house can be bought with a loan.
008	可以去买保险，保险当然分为很多类	You can buy insurance, insurance is of course divided into many categories.
009	医疗保险还是很重要的	Medical insurance is very important.
010	就是保险公司来出这一部分钱	It's the insurance company that pays this part of the money.
011	相互宝，我不知道你有没有了解过，它是支付宝里面的一种保险	Xianghubao, I don't know if you ever heard about it, it is insurance in Alipay.
012	买房子其实也就是一个投资	Buying a house is actually an investment.
013	你有没有去了解过平安保险公司的培训啊	Have you ever learned about the training of Ping An Insurance?
014	如果要是存银行的话，利息利滚利是多少	If it is deposited in the bank, what is the outcome of the compound interest?
015	这个保险在西方国家已经很成熟了	This sort of insurance is very sound in western countries.
016	保险行业很多啊，你看它覆盖的面积特别广	There are many industries that insurance may cover, you see it covers a very broad field.
017	但是，其实也是在鼓励你买商业保险和人寿保险	However, it is actually encouraging you to buy commercial insurance and life insurance.
018	卖保险的都是靠的人脉	People who sell insurance all rely on their connections.
019	呃，你买的社保也是保险呀，然后你的车险也是保险呀	Uh, social insurance is as well insurance, and your car insurance is, too, insurance.
020	但是银行的钱，你如果是拿出来的话，属于是一种贷款	But the money from banks, if you take it out, is a kind of loan.
021	现在好像转向那个负利率	Now it seems to be approaching a negative interest rate.
022	借银行的钱，我真的没试过	I really have never tried to borrow money from a bank.
023	他是没有利息的，所以他就把它放出去，以后再收回来	He asks for no interest, so he simply lends the money and recovers it later.
024	如果是你征信不好的话，他也不会给钱你用	If you got bad credit information, he will not lend you money.
025	是他是贷款买的还是全款	Did he buy it through a loan or pay in full?
026	嗯，他们就是就是有时候办一张银行卡的时候，程序特别多	Well, they sometimes have a lot of procedures when applying for a bank card.
027	各种银行，还有五大银行	All kinds of banks, as well as five major banks.
028	国债券也算是证券的一种吗	Are treasury bonds a type of securities?
029	其实做股票的话嗯相它是算是风险系数比较高的	In fact, trading on the stock exchange itself is considered to have a relatively high-risk factor.
030	嗯收益不会太高就跟银行利率是差不多的	Um, the profit would not be very high, it is supposed to be around the interest rate.
031	然后就用来炒房用啊，等它升值了之后卖一套房，然后还清贷款，可能自己还赚了那个几十万	Then it is used for real estate speculation. After a house has been appreciated, sell it and pay off the loan. Maybe one could earn hundreds of thousands of money.
032	入投资入门的话，第一步就是说你要掌握基础知识	To get started with investing, the first step is to master the basics.
033	汇率的标价方式还有他的直接标价法和间接标价法	Pricing methods for exchange rates include direct pricing and indirect pricing.
034	它始终是一种投资的行为，投资的模式，投资的方式	Anyway, it is an investment behavior, an investment model, and an investment approach.
035	如果有闲钱呢买一套公寓来投资呢？	What if I have spare money to buy an apartment for investment?
036	变成资金，投资其他的方面	become capital and invest in something else
037	有了贷款就有了压力，也就有了挣钱的动力，这个我也认同	Having the pressure from a loan also means having the motivation to make money. I agree with that.
038	方不方便开通网上银行啊	If it is convenient to sign up for online banking?
039	那你上次投资的钱从哪来的	Where did you get the money you invested last time?
040	银行的政策的改变让他们不能贷款了	The changes in bank policies prevent them from lending.
041	保险公司呢它也有理财产品的	An insurance company also provides financial products.
042	好像我们那个保险公司是两点八的利息保底	It seems that our insurance company has a guaranteed interest rate of 2.8 percent.
043	所以很多人对保险很反感	Many people are disgusted with insurance.
044	他们宁愿把那个钱去存银行吃利息	They would rather keep the money in the bank for interest.
045	提前五年理财真好，因为理财本身就是一个很轻松的事情	It's great to start money management five years in advance because money management itself is very easy.
046	就是你把你的生活费支出的一小部分作一个储蓄	It means you take a small part of your living expenses as savings.
047	债券基金里这种基金的话，它是收益是比较稳定的，就跟存定期一样，但是比定期的钱要多	As for a bond fund, it offers a relatively stable profit, which is just like a fixed deposit but with more benefits.
048	它理论上可以开多少张这种承兑汇票	How many such acceptance drafts can theoretically be issued.
049	就是说我们每个人都应该有自己的理财方式，不管你是你理什么财不管你有多少钱	It means that each of us should have our way to manage money, no matter in which way, no matter how much money we have.
050	是啊，这个贷款再怎么说也要十年以上才能还清	True, this loan will take more than ten years to pay off.
051	投资创业是种非常很大风险的事情	 It is fairly risky to start a business.
052	等它升值的话，其实也是不错的考虑方向，也是一种投资手段吧	Actually, it is considered a good way of investment, to wait for the appreciation.
053	其实吧，他们的理财也是很值得我学习的	Actually, their financial management is also worth learning.
054	如果说理财是我们生活中必不可少的部分的话	if financial management is an essential part of our lives
055	比如说我以前就接触过很多什么理财的软件啊	For example, I have tried many pieces of personal financial software before.
056	它只是帮你把钱保管好可能，但是更多的投资是出于自己	It may probably just help you keep the money, but investment behaviors depend on yourself.
