# problem
-30
-30 partners
-i
-i always
-not
-not people
/less
/less aware
1-2 times
12th results
2/3
2/3 days
24/7 and
24/7 but
24/7now
24/7now ive
2am and
2years
2years like
3am that
3d
3d visio-spacial
3rd year
4-5 years
4-5 yrs
5-6 years
50/50 but
5’11
5’11 lbs
6th sem
7+
7+ years
8th i
98%
98% vege
99%
99% of
a bad
a beautiful
a bizarre
a black
a blur
a bonus
a borderline
a boring
a born
a bother
a bridesmaid
a building
a burden
a burning
a c-section
a callback
a calm
a cave
a change
a chaotic
a cheater
a child-like
a class
a co-worker’s
a competition
a complete
a compulsive
a consequence
a constant
a constructive
a control
a cover
a curve
a dealer
a deer
a delusion
a designer
a detailed
a detective
a direct
a disability
a disappointment
a distress
a doormat
a downward
a dreadful
a dressing
a drunk
a emotional
a failure
a failure…
a feeling
a figure
a fine
a fool
a friendly
a front
a fulfilling
a full-blown
a genius
a gifted
a given
a good
a grade
a green
a hands
a hatred
a haze
a heap
a high-achieving
a high-paying
a hobby
a huff
a in
a jealous
a journal
a lethargic
a limb
a loser
a luxury
a maniac
a mansion
a marital
a mask
a massive
a master's
a memory
a messed
a moron
a narcissist
a narcissistic
a natural
a negative
a nightmare
a no
a on
a particularly
a passion
a pathetic
a penny
a penthouse
a perfect
a perfectionist
a perpetual
a pg
a physiologist
a poor
a potential
a predator
a prestigious
a productive
a promotion
a public
a purpose
a raise
a realitonship
a region
a response
a restaurant
a return
a robot
a roll
a rollercoaster
a rolling
a root
a routine
a scapegoat
a seed
a self-punishment
a semester
a sense
a shameful
a shock
a sick
a slut
a sly
a smoker
a solid
a song
a split-second
a stain
a surgery
a survivor
a switch
a talented
a task
a tendency
a terrible
a tip
a topper
a totally
a traffic
a trend
a true
a try
a unique
a useless
a victim
a voice
a void
a walk-in
a walking
a want
a weak
a weird
a weirder
a wife
a wild
a xbox
a zero
a £5
a ‘happy’
a ‘normal’
abandoned even
abandoned me
abandonment
abandonment i
abandonment lies
abilities
ability fantasized
ability or
ability things
about -30
about 4-5
about as
about attending
about authority
about bringing
about but
about consequences
about disruption
about due
about ending
about every
about everyday
