Date,Open,High,Low,Close,Volume
20-07-2020,3224.29,3258.61,3215.16,3251.84,2171304615
21-07-2020,3268.52,3277.29,3247.77,3257.3,2470338671
22-07-2020,3254.86,3279.32,3253.1,3276.02,2418091343
23-07-2020,3271.64,3279.99,3222.66,3235.66,2742056465
24-07-2020,3218.58,3227.26,3200.05,3215.63,2460505182
27-07-2020,3219.84,3241.43,3214.25,3239.41,2355871031
28-07-2020,3234.27,3243.72,3216.17,3218.44,2244363387
29-07-2020,3227.22,3264.74,3227.22,3258.44,2471114054
30-07-2020,3231.76,3250.92,3204.13,3246.22,2436861309
31-07-2020,3270.45,3272.17,3220.26,3271.12,3062620493
03-08-2020,3288.26,3302.73,3284.53,3294.61,2379546705
04-08-2020,3289.92,3306.84,3286.37,3306.51,2403695283
05-08-2020,3317.37,3330.77,3317.37,3327.77,2452040105
06-08-2020,3323.17,3351.03,3318.14,3349.16,2414075395
07-08-2020,3340.05,3352.54,3328.72,3351.28,2279160879
10-08-2020,3356.04,3363.29,3335.44,3360.47,2565981272
11-08-2020,3370.34,3381.01,3326.44,3333.69,2901184692
12-08-2020,3355.46,3387.89,3355.46,3380.35,2245860113
13-08-2020,3372.95,3387.24,3363.35,3373.43,1964649318
14-08-2020,3368.66,3378.51,3361.64,3372.85,1713105900
17-08-2020,3380.86,3387.59,3379.22,3381.99,1951363148
18-08-2020,3387.04,3395.06,3370.15,3389.78,1795551606
19-08-2020,3392.51,3399.54,3369.66,3374.85,2021428535
20-08-2020,3360.48,3390.8,3354.69,3385.51,1835659390
21-08-2020,3386.01,3399.96,3379.31,3397.16,1993642443
24-08-2020,3418.09,3432.09,3413.13,3431.28,2275646060
25-08-2020,3435.95,3444.21,3425.84,3443.62,2042901658
26-08-2020,3449.97,3481.07,3444.15,3478.73,2020851527
27-08-2020,3485.14,3501.38,3468.35,3484.55,2327431654
28-08-2020,3494.69,3509.23,3484.32,3508.01,2047770541
31-08-2020,3509.73,3514.77,3493.25,3500.31,2545947629
01-09-2020,3507.44,3528.03,3494.6,3526.65,2246655768
02-09-2020,3543.76,3588.11,3535.23,3580.84,2579961224
03-09-2020,3564.74,3564.85,3427.41,3455.06,3196862882
04-09-2020,3453.6,3479.15,3349.63,3426.96,3045943569
08-09-2020,3371.88,3379.97,3329.27,3331.84,3071728677
09-09-2020,3369.82,3424.77,3366.84,3398.96,2509091751
10-09-2020,3412.56,3425.55,3329.25,3339.19,2581883711
11-09-2020,3352.7,3368.95,3310.47,3340.97,2351289169
14-09-2020,3363.56,3402.93,3363.56,3383.54,2364625122
15-09-2020,3407.73,3419.48,3389.25,3401.2,2482063450
16-09-2020,3411.23,3428.92,3384.45,3385.49,2860737276
17-09-2020,3346.86,3375.17,3328.82,3357.01,2739627914
18-09-2020,3357.38,3362.27,3292.4,3319.47,4080814747
21-09-2020,3285.57,3285.57,3229.1,3281.06,2996245686
22-09-2020,3295.75,3320.31,3270.95,3315.57,2388040936
23-09-2020,3320.11,3323.35,3232.57,3236.92,2481367969
24-09-2020,3226.14,3278.7,3209.45,3246.59,2414616135
25-09-2020,3236.66,3306.88,3228.44,3298.46,2201331092
28-09-2020,3333.9,3360.74,3332.91,3351.6,2218484960
29-09-2020,3350.92,3357.92,3327.54,3335.47,1947640906
30-09-2020,3341.21,3393.56,3340.47,3363,2621466321
01-10-2020,3385.87,3397.18,3361.39,3380.8,2354422841
02-10-2020,3338.94,3369.1,3323.69,3348.42,2354722287
05-10-2020,3367.27,3409.57,3367.27,3408.6,2040745749
06-10-2020,3408.74,3431.56,3354.54,3360.97,2551091954
07-10-2020,3384.56,3426.26,3384.56,3419.44,2084054405
08-10-2020,3434.28,3447.28,3428.15,3446.83,2094828307
09-10-2020,3459.67,3482.34,3458.07,3477.14,2209050833
12-10-2020,3500.02,3549.85,3499.61,3534.22,2240199001
13-10-2020,3534.01,3534.01,3500.86,3511.93,2358329289
14-10-2020,3515.47,3527.94,3480.55,3488.67,2173872805
15-10-2020,3453.72,3489.08,3440.89,3483.34,2007238547
16-10-2020,3493.5,3515.76,3480.45,3483.81,2213545513
19-10-2020,3493.66,3502.42,3419.93,3426.92,2185827606
20-10-2020,3439.38,3476.93,3435.65,3443.12,2114290333
21-10-2020,3439.91,3464.86,3433.06,3435.56,2067107215
22-10-2020,3438.5,3460.53,3415.34,3453.49,2402859482
23-10-2020,3464.9,3466.46,3440.45,3465.39,2155522498
26-10-2020,3441.42,3441.42,3364.86,3400.97,2435786612
27-10-2020,3403.15,3409.51,3388.71,3390.68,2395101697
28-10-2020,3342.48,3342.48,3268.89,3271.03,3147943500
29-10-2020,3277.17,3341.05,3259.82,3310.11,2752625684
30-10-2020,3293.59,3304.93,3233.94,3269.96,3003852681
02-11-2020,3296.2,3330.14,3279.74,3310.24,2525535542
03-11-2020,3336.25,3389.49,3336.25,3369.16,2329577555
04-11-2020,3406.46,3486.25,3405.17,3443.44,2901095649
05-11-2020,3485.74,3529.05,3485.74,3510.45,2559015385
06-11-2020,3508.34,3521.58,3484.34,3509.44,2167007972
09-11-2020,3583.04,3645.99,3547.48,3550.5,5061429532
10-11-2020,3543.26,3557.22,3511.91,3545.53,3455507092
11-11-2020,3563.22,3581.16,3557,3572.66,2515389885
12-11-2020,3562.67,3569.02,3518.58,3537.01,2414732971
13-11-2020,3552.57,3593.66,3552.57,3585.15,2276724987
16-11-2020,3600.16,3628.51,3600.16,3626.91,2864430679
17-11-2020,3610.31,3623.11,3588.68,3609.53,2343226894
18-11-2020,3612.09,3619.09,3567.33,3567.79,2667939337
19-11-2020,3559.41,3585.22,3543.84,3581.87,2246332374
20-11-2020,3579.31,3581.23,3556.85,3557.54,2212968548
23-11-2020,3566.82,3589.81,3552.77,3577.59,2493130026
24-11-2020,3594.52,3642.31,3594.52,3635.41,3170708990
25-11-2020,3635.5,3635.5,3617.76,3629.65,2305668031
27-11-2020,3638.55,3644.31,3629.33,3638.35,1229199673
30-11-2020,3634.18,3634.18,3594.39,3621.63,3644157125
01-12-2020,3645.87,3678.45,3645.87,3662.45,2637657489
02-12-2020,3653.78,3670.96,3644.84,3669.01,2382771239
03-12-2020,3668.28,3682.73,3657.17,3666.72,2642754327
04-12-2020,3670.94,3699.2,3670.94,3699.12,2591912420
07-12-2020,3694.73,3697.41,3678.88,3691.96,2340001316
08-12-2020,3683.05,3708.45,3678.83,3702.25,2264899108
09-12-2020,3705.98,3712.39,3660.54,3672.82,2756415535
10-12-2020,3659.13,3678.49,3645.18,3668.1,2412666569
11-12-2020,3656.08,3665.91,3633.4,3663.46,2308878899
14-12-2020,3675.27,3697.61,3645.84,3647.49,2541186619
15-12-2020,3666.41,3695.29,3659.62,3694.62,2529938661
16-12-2020,3696.25,3711.27,3688.57,3701.17,2267390776
17-12-2020,3713.65,3725.12,3710.87,3722.48,2192253641
18-12-2020,3722.39,3726.7,3685.84,3709.41,4246742281
21-12-2020,3684.28,3702.9,3636.48,3694.92,2605975306
22-12-2020,3698.08,3698.26,3676.16,3687.26,2208070093
23-12-2020,3693.42,3711.24,3689.28,3690.01,1845296650
24-12-2020,3694.03,3703.82,3689.32,3703.06,818784928
28-12-2020,3723.03,3740.51,3723.03,3735.36,1662609796
29-12-2020,3750.01,3756.12,3723.31,3727.04,1638287436
30-12-2020,3736.19,3744.63,3730.21,3732.04,1559327835
31-12-2020,3733.27,3760.2,3726.88,3756.07,1658919486
04-01-2021,3764.61,3769.99,3662.71,3700.65,2728583078
05-01-2021,3698.02,3737.83,3695.07,3726.86,2384682941
06-01-2021,3712.2,3783.04,3705.34,3748.14,3191178708
07-01-2021,3764.71,3811.55,3764.71,3803.79,2585186415
08-01-2021,3815.05,3826.69,3783.6,3824.68,2374809302
11-01-2021,3803.14,3817.86,3789.02,3799.61,2335918128
12-01-2021,3801.62,3810.78,3776.51,3801.19,2632132471
13-01-2021,3802.23,3820.96,3791.5,3809.84,2344888465
14-01-2021,3814.98,3823.6,3792.86,3795.54,2708930219
15-01-2021,3788.73,3788.73,3749.62,3768.25,2741656357
19-01-2021,3781.88,3804.53,3780.37,3798.91,2485142099
20-01-2021,3816.22,3859.75,3816.22,3851.85,2350471631
21-01-2021,3857.46,3861.45,3845.05,3853.07,2591055660
22-01-2021,3844.24,3852.31,3830.41,3841.47,2290691535
25-01-2021,3851.68,3859.23,3797.16,3855.36,2796458161
26-01-2021,3862.96,3870.9,3847.78,3849.62,2562368503
27-01-2021,3836.83,3836.83,3732.48,3750.77,3808384652
28-01-2021,3755.75,3830.5,3755.75,3787.38,3261772860
29-01-2021,3778.05,3778.05,3694.12,3714.24,3315454292
01-02-2021,3731.17,3784.32,3725.62,3773.86,2457573861
02-02-2021,3791.84,3843.09,3791.84,3826.31,2415604684
03-02-2021,3840.27,3847.51,3816.68,3830.17,2273801634
04-02-2021,3836.66,3872.42,3836.66,3871.74,2367356951
05-02-2021,3878.3,3894.56,3874.93,3886.83,2152289897
08-02-2021,3892.59,3915.77,3892.59,3915.59,2161333144
09-02-2021,3910.49,3918.35,3902.64,3911.23,2067393950
10-02-2021,3920.78,3931.5,3884.94,3909.88,2291313102
11-02-2021,3916.4,3925.99,3890.39,3916.38,2126812632
12-02-2021,3911.65,3937.23,3905.78,3934.83,1829607166
16-02-2021,3939.61,3950.43,3923.85,3932.59,2305147298
17-02-2021,3918.5,3933.61,3900.43,3931.33,2161952392
18-02-2021,3915.86,3921.98,3885.03,3913.97,2025989354
19-02-2021,3921.16,3930.41,3903.07,3906.71,2315685076
22-02-2021,3885.55,3902.92,3874.71,3876.5,2752794505
23-02-2021,3857.07,3895.98,3805.59,3881.37,2947617135
24-02-2021,3873.71,3928.65,3859.6,3925.43,2788164696
25-02-2021,3915.8,3925.02,3814.04,3829.34,2924371959
26-02-2021,3839.66,3861.08,3789.54,3811.15,3129018166
01-03-2021,3842.51,3914.5,3842.51,3901.82,2406893663
02-03-2021,3903.64,3906.41,3868.57,3870.29,2296374171
03-03-2021,3863.99,3874.47,3818.86,3819.72,2718938203
04-03-2021,3818.53,3843.67,3723.34,3768.47,3471696122
05-03-2021,3793.58,3851.69,3730.19,3841.94,3320705802
08-03-2021,3844.39,3881.06,3819.25,3821.35,2998653462
09-03-2021,3851.93,3903.76,3851.93,3875.44,2786916293
10-03-2021,3891.99,3917.35,3885.73,3898.81,2661081667
11-03-2021,3915.54,3960.27,3915.54,3939.34,2570250267
12-03-2021,3924.52,3944.99,3915.21,3943.34,2277434098
15-03-2021,3942.96,3970.08,3923.54,3968.94,2393441121
16-03-2021,3973.59,3981.04,3953.44,3962.71,2372381008
17-03-2021,3949.57,3983.87,3935.74,3974.12,2458783556
18-03-2021,3953.5,3969.62,3910.86,3915.46,2686354391
19-03-2021,3913.14,3930.12,3886.75,3913.1,4647053019
22-03-2021,3916.48,3955.31,3914.16,3940.59,2362949344
23-03-2021,3937.6,3949.13,3901.57,3910.52,2494379928
24-03-2021,3919.93,3942.08,3889.07,3889.14,2414378604
25-03-2021,3879.34,3919.54,3853.5,3909.52,2385059895
26-03-2021,3917.12,3978.19,3917.12,3974.54,2655374920
29-03-2021,3969.31,3981.83,3943.25,3971.09,2418405500
30-03-2021,3963.34,3968.01,3944.35,3958.55,2134267391
31-03-2021,3967.25,3994.41,3966.98,3972.89,2420427567
01-04-2021,3992.78,4020.63,3992.78,4019.87,2178187603
05-04-2021,4034.44,4083.42,4034.44,4077.91,2241318486
06-04-2021,4075.57,4086.23,4068.14,4073.94,2147071522
07-04-2021,4074.29,4083.13,4068.31,4079.95,1963233249
08-04-2021,4089.95,4098.19,4082.54,4097.17,2011933177
09-04-2021,4096.11,4129.48,4095.51,4128.8,1880708120
12-04-2021,4124.71,4131.76,4114.82,4127.99,1923094540
13-04-2021,4130.1,4148,4124.43,4141.59,2060718961
14-04-2021,4141.58,4151.69,4120.87,4124.66,2092018943
15-04-2021,4139.76,4173.49,4139.76,4170.42,2130933628
16-04-2021,4174.14,4191.31,4170.75,4185.47,2205786949
19-04-2021,4179.8,4180.81,4150.47,4163.26,1999877307
20-04-2021,4159.18,4159.18,4118.38,4134.94,2292083378
21-04-2021,4128.42,4175.02,4126.35,4173.42,2126513143
22-04-2021,4170.46,4179.57,4123.69,4134.98,2392241341
23-04-2021,4138.78,4194.17,4138.78,4180.17,2008642236
26-04-2021,4185.03,4194.19,4182.36,4187.62,1937952599
27-04-2021,4188.25,4193.35,4176.22,4186.72,2034702320
28-04-2021,4185.14,4201.53,4181.78,4183.18,2145349329
29-04-2021,4206.14,4218.78,4176.81,4211.47,2502878449
30-04-2021,4198.1,4198.1,4174.85,4181.17,2428162998
03-05-2021,4191.98,4209.39,4188.03,4192.66,2182103434
04-05-2021,4179.04,4179.04,4128.59,4164.66,2552420121
05-05-2021,4177.06,4187.72,4160.94,4167.59,1769152889
06-05-2021,4169.14,4202.7,4147.33,4201.62,2239080813
07-05-2021,4210.34,4238.04,4201.64,4232.6,2048519190
10-05-2021,4228.29,4236.39,4188.13,4188.43,2320014566
11-05-2021,4150.34,4162.04,4111.53,4152.1,2432749321
12-05-2021,4130.55,4134.73,4056.88,4063.04,2406683784
13-05-2021,4074.99,4131.58,4074.99,4112.5,2163353723
14-05-2021,4129.58,4183.13,4129.58,4173.85,1904970402
17-05-2021,4169.92,4171.92,4142.69,4163.29,2278897644
18-05-2021,4165.94,4169.15,4125.99,4127.83,2324677838
19-05-2021,4098.45,4116.93,4061.41,4115.68,2414067271
20-05-2021,4121.97,4172.8,4121.97,4159.12,2159532191
21-05-2021,4168.61,4188.72,4151.72,4155.86,2196798084
24-05-2021,4170.16,4209.52,4170.16,4197.05,1848676717
25-05-2021,4205.94,4213.42,4182.52,4188.13,2117333013
26-05-2021,4191.59,4202.61,4184.11,4195.99,2087338274
27-05-2021,4201.94,4213.38,4197.78,4200.88,3407781249
28-05-2021,4210.77,4218.36,4203.57,4204.11,1958464949
01-06-2021,4216.52,4234.12,4197.59,4202.04,2096973335
02-06-2021,4206.82,4217.37,4198.27,4208.12,2028836814
