,forms
0,вера веры вере веру верой верою вере веры вер верам веры верами верах
1,вероучение вероученье вероучения вероученья вероучению вероученью вероучение вероученье вероучением вероученьем вероучении вероученье вероученьи вероучения вероученья вероучений вероучениям вероученьям вероучения вероученья вероучениями вероученьями вероучениях вероученьях
2,заповедь заповеди заповеди заповедь заповедью заповеди заповеди заповедей заповедям заповеди заповедями заповедях
3,уверенность уверенности уверенности уверенность уверенностью уверенности уверенности уверенностей уверенностям уверенности уверенностями уверенностях
4,верность верности верности верность верностью верности верности верностей верностям верности верностями верностях
5,доверие доверье доверия доверья доверию доверью доверие доверье доверием доверьем доверии доверье доверьи доверия доверья доверий довериям доверьям доверия доверья довериями доверьями довериях доверьях
6,убеждение убежденье убеждения убежденья убеждению убежденью убеждение убежденье убеждением убежденьем убеждении убежденье убежденьи убеждения убежденья убеждений убеждениям убежденьям убеждения убежденья убеждениями убежденьями убеждениях убежденьях
7,надежда надежды надежде надежду надеждой надеждою надежде надежды надежд надеждам надежды надеждами надеждах
8,мнение мненье мнения мненья мнению мненью мнение мненье мнением мненьем мнении мненье мненьи мнения мненья мнений мнениям мненьям мнения мненья мнениями мненьями мнениях мненьях
9,кредит кредита кредиту кредит кредитом кредите кредиты кредитов кредитам кредиты кредитами кредитах
10,созерцание созерцанье созерцания созерцанья созерцанию созерцанью созерцание созерцанье созерцанием созерцаньем созерцании созерцанье созерцаньи созерцания созерцанья созерцаний созерцаниям созерцаньям созерцания созерцанья созерцаниями созерцаньями созерцаниях созерцаньях
11,медитация медитации медитации медитацию медитацией медитациею медитации медитации медитаций медитациям медитации медитациями медитациях
12,неделание неделанье неделания неделанья неделанию неделанью неделание неделанье неделанием неделаньем неделании неделанье неделаньи неделания неделанья неделаний неделаниям неделаньям неделания неделанья неделаниями неделаньями неделаниях неделаньях
13,сосредоточенность сосредоточенности сосредоточенности сосредоточенность сосредоточенностью сосредоточенности сосредоточенности сосредоточенностей сосредоточенностям сосредоточенности сосредоточенностями сосредоточенностях
14,замедление замедленье замедления замедленья замедлению замедленью замедление замедленье замедлением замедленьем замедлении замедленье замедленьи замедления замедленья замедлений замедлениям замедленьям замедления замедленья замедлениями замедленьями замедлениях замедленьях
15,нейтральность нейтральности нейтральности нейтральность нейтральностью нейтральности нейтральности нейтральностей нейтральностям нейтральности нейтральностями нейтральностях
16,лень лени лени лень ленью лени лени леней леням лени ленями ленях
17,имитация имитации имитации имитацию имитацией имитациею имитации имитации имитаций имитациям имитации имитациями имитациях
18,суета суеты суете суету суетой суетою суете суеты сует суетам суеты суетами суетах
19,активизм активизма активизму активизм активизмом активизме активизмы активизмов активизмам активизмы активизмами активизмах
20,альтруизм альтруизма альтруизму альтруизм альтруизмом альтруизме альтруизмы альтруизмов альтруизмам альтруизмы альтруизмами альтруизмах
21,самопожертвование самопожертвованье самопожертвования самопожертвованья самопожертвованию самопожертвованью самопожертвование самопожертвованье самопожертвованием самопожертвованьем самопожертвовании самопожертвованье самопожертвованьи самопожертвования самопожертвованья самопожертвований самопожертвованиям самопожертвованьям самопожертвования самопожертвованья самопожертвованиями самопожертвованьями самопожертвованиях самопожертвованьях
22,самоотдача самоотдачи самоотдаче самоотдачу самоотдачей самоотдачею самоотдаче самоотдачи самоотдач самоотдачам самоотдачи самоотдачами самоотдачах
23,сопереживание сопереживанье сопереживания сопереживанья сопереживанию сопереживанью сопереживание сопереживанье сопереживанием сопереживаньем сопереживании сопереживанье
24,сочувствие сочувствия сочувствию сочувствие сочувствием сочувствии сочувствия сочувствий сочувствиям сочувствия сочувствиями сочувствиях
25,симпатия симпатии симпатии симпатию симпатией симпатиею симпатии симпатии симпатий симпатиям симпатии симпатиями симпатиях
26,эмпатия эмпатии эмпатии эмпатию эмпатией эмпатиею эмпатии эмпатии эмпатий эмпатиям эмпатии эмпатиями эмпатиях
