Patient Question,Distorted part,Dominant Distortion,Secondary Distortion (Optional)
"Hello, I have a beautiful,smart,outgoing and amazing five year old little girl. Yesterday she came to me and said mom can you take me to the doctor. I ask her what was wrong and she replied: I hear voices in my ears but I dont see the people saying it. She says it happened during school doing a reading circle. She thought someone called her stupid and let the teacher know. The teacher said no one said anything. It happened again when my husband was talking to my other children, she said I heard daddy say shut up, but he didnt really say it. The voice are always fimilar (someone she knows) Im very concerned about this and hope it has nothing to do with my pregnancy while on active duty.",The voice are always fimilar (someone she knows) Im very concerned about this and hope it has nothing to do with my pregnancy while on active duty.,Personalization,
"Since I was about 16 years old I’ve had these “spells” where it’s impossible for me to control my emotions. They come on suddenly and with absolutely no triggers whatsoever, although for hours to days before they happen I’ll sometimes have uncomfortably high levels of energy–I’ll feel either obnoxious and silly (but in a kind of desperate way, if that makes sense) or I’ll be really productive and jittery. Both of these high energy feelings are unsettling, maybe because I normally almost never have high levels of energy. The “spells,” “episodes,” whatever they are, involve extreme guilt and disgust with myself–but it’s a very visceral feeling and it’s overwhelming. I feel trapped inside my disgusting self and like I’m willing to do anything to escape it. I feel incredibly agitated and yet trapped at the same time–like I want to move or do something but I can’t. I also just feel extremely empty and sad–like, I’m filled with this overwhelming emotion but other than that I’m hollow. I feel so desperate and so unhappy and sick and like I hate myself so much–but it’s such a powerful physical feeling that it’s hard to describe with words because it’s a feeling and not a thought. I sob uncontrollably during these episodes (they usually last a few hours although they occasionally last longer) I’ve definitely been suicidal during these periods, but it’s not so much a conscious desire to kill myself than it is a need to escape how I’m feeling. I’m just afraid sometimes that since I’m not really thinking during these times that I might do something to myself–especially since I think during these times that I don’t deserve to get help or that I’m not worth disturbing people by calling them.",I feel trapped inside my disgusting self and like I’m willing to do anything to escape it.I’m just afraid sometimes that since I’m not really thinking during these times that I might do something to myself–especially since I think during these times that I don’t deserve to get help or that I’m not worth disturbing people by calling them.,Labeling,Emotional Reasoning
" So I’ve been dating on and off this guy for almost 3 years. He is 3 years younger than me. During our relationship we had always had issues. First he wouldn’t call me, he would prefer to go out with his friends than me, he wouldn’t even remember the day of our anniversary, or things like that we kind of tried to work all that out but I’ve always felt that he really doesn’t love and care about me, even though he says he loves me. Also he has lied to me during this time, first once he went to a party and when I asked him if he did he lied to me in my face. What bothered me was the fact that he had pictures dancing, almost rubbing himself, with another girl. He lied in my face when I asked! After that we had trust issues and I told him that he would need to help me out to solve that and he said yeah, he would make me trust him again. Months later I found out he is talking to a girl over the internet and he even met her and when I asked him if he knew her he said no again, lie to me in my face looking at my eyes. After that he went away in a trip and disappear for the whole trip without trying to reach me and also told me that his phone didn’t have coverage there, that’s why he didn’t take it…(another lie!) after all that I broke up with him…I think he doesn’t respect me because he is always adding girls on myspace and trying to meet girls…we meet 5 months after we broke up and now he is asking me for a second chance…we had sex once after the breakup, I think he only looks for me whenever he wants to have sex…I still have feelings for him that’s why I always end up accepting whatever he says but I know it is not good… What do I do? Should I give him a second chance or just forget about him? He says he is gonna make it up, that he has change an that now he is more mature but he had lied and hurt me so much that I feel that I love him but I have some anger towards him for making me cry so many times….why do I keep getting back with him every time he does something that hurts me? I Feel that I can get someone better, someone that would make me happy and don’t hurt me that much…but I don’t know why I keep going back with him.",,No Distortion,
"My parents got divorced in 2004. My mother has never recovered, she has severe mood swings, i think she may be bipolar. When I was six years old in 1998, my father moved our family to Germany because he was in the army. I had an amazing childhood. When I was twelve in 2004, my father had to go to Iraq. My mother thought it would be best if she moved my brother and I back to the U.S., where we would have family support. I was very depressed because my dad was my hero and I blamed my mom for everything that went wrong. I felt like no one understood me, mostly because we live in a very remote and rural part of the state. When my dad came back, he wanted a divorce from my mother. A few years earlier, my mother had to have surgery on her hip. my dad left her in the hospital and met a woman at a bar. They hooked up and my mom was devestated. But he promised he’d never do it again.",,No Distortion,
"I don’t really know how to explain the situation, but I deal with a lot of family drama, my parents have kind of high expectations, with the stress of school on top of that I became extremely unhappy and kept all of my emotions in and I wore that fake smile everyday until I finally reached my breaking point. I started self harming for about six months until my mom found out and suggested an inpatient program at a hospital. I refused to go because I didn’t know if it was going to go on my record which could possibly affect my dreams of becoming a psychiatrist. So, instead she sent me to a councelor who I’ve been seeing for about a year now. She sent me to a psychiatrist when I first started going to her and I was diagnosed with depression and put on medication but I stopped taking it a month after it was perscribed. I have a major fear of choking and drowning As well and can’t swallow pills. I’m still having major problems with the depression And My anxiety has been very bad, I’ve been considering talking to my parents about finishing the year by taking online classes. Because I need to get away. But what I really want to know is, how can I deal with depression and dig myself out of this hole? It seems like everytime I get so close of beating in, I get nocked right back down to the bottom. I’m still seeing my therapist but it’s not enough, my mom is still pushing me to go back on medication but doesn’t understand my fears. Is it even possible to beat this without medication? I also apologize if a lot of this doesn’t make sense.","I refused to go because I didn’t know if it was going to go on my record which could possibly affect my dreams of becoming a psychiatrist.I have a major fear of choking and drowningIt seems like everytime I get so close of beating in, I get nocked right back down to the bottom.",Fortune-telling,Emotional Reasoning
"Hello. I have been friend with a guy since grade 6th. We were in the same grade and best pals of each other. Two years back I realized that I love him unconditionally and what all we shared was not merely friendship but I had other feelings for him. First I thought the feelings were mutual and so did all our common friends told me. But when I proposed the GUY, he refused me and said he never felt so. And everybody, including his brother and cousin who are my good friends too, have taken his feelings for me wrongly. He was just a friend to me always and had no such feelings for me. He certainly stopped talking to me. No contacts at all for 8 months. But I still loved him n I still do. I was always concerned about him. So kept a detail about him through his brother and friends but he fought with them too. At a point of time he broke all his ties with everyone and entered a new life.",,No Distortion,
"About a year ago to the month, I was in the midst of a very painful break-up during my senior year of college. I had been with my ex for 2 years, it was a very serious relationship, we lived together, and the split was entirely unexpected. In retrospect, the relationship was unhealthy… I changed/compromised myself a lot to try and appease my ex, to fit into his life, and I think I convinced myself that I was happy regardless.",,No Distortion,
Having the structure of our family to focus on seemed to help my schizophrenic mother hold it together while we were growing up. We saw her first psychotic episode when I was a senior in high school the oldest child. Mom did spend time in state mental hospitals before she was married. My father was a verbally abusive alcoholic.,,No Distortion,
"I’m 14 years old and have social anxiety / depression. When I was 5 years old, my father was killed in a car crash. After that, my mother continued to work. When I was 9, my mom and I were in a severe car accident. She broke every bone on the right side of her body and I ruptured my spleen and fractured my leg.",,No Distortion,
" I have been with my fiancé for two years now. I have gotten along with his family fine up until recently. His mother began emailing jokes to my fiancé and me and we noticed that there were a couple other people on the emails including an ex girlfriend, who he dated for a short period of time. My fiancé asked his mother if she was still in contact with her and she said yes that they email occasionally. He told her that it made him uncomfortable and thought that it was disrespectful to both he and I and that it would hurt my feelings. She responded very harshly by saying she wouldn’t be told who she could talk to. And that if I was that fragile than she would never be close to me any way because she would not want to have a relationship with someone that she needs to sensor what she says because of my feelings. She then deleted me from her email contacts and kept the ex. She said that she would also be a friend with another ex-gf, who had been very rude and nasty to me early on in our relationship, if she was given the chance. I felt like the response was totally irrational, mean and disrespectful. I felt extremely hurt. Her response hurt even more than the actual emailing itself. I had always been very nice and respectful of his mother. My fiancé has been very supportive and says that he would feel just as hurt and uncomfortable if the tables were turned and it were my mother behaving in this manner. All we wanted was for some respect for our feelings. It hurt to see this relationship flaunted in front of me and then to have my future mother in-law blatantly not care less about our feelings and choose to maintain a relationship with the ex and not her future daughter in-law. Any advice or perspective would be greatly appreciated!!","I felt like the response was totally irrational, mean and disrespectful. I felt extremely hurt.",Magnification,
